rect_type,N,trial,estimate
wide,5600,22,0.994783
wide,5600,23,0.996519
wide,5600,24,0.934019
wide,5600,25,0.91145
wide,5600,26,0.937492
wide,5600,27,0.95138
wide,5600,28,0.916659
wide,5600,29,0.939228
narrow,5600,0,0.946429
narrow,5600,1,0.947098
narrow,5600,2,0.947991
narrow,5600,3,0.941518
narrow,5600,4,0.955804
narrow,5600,5,0.944866
narrow,5600,6,0.943527
narrow,5600,7,0.941071
narrow,5600,8,0.939732
narrow,5600,9,0.940625
narrow,5600,10,0.948214
narrow,5600,11,0.94442
narrow,5600,12,0.958929
narrow,5600,13,0.941295
narrow,5600,14,0.941741
narrow,5600,15,0.942857
narrow,5600,16,0.952455
narrow,5600,17,0.939286
narrow,5600,18,0.945536
narrow,5600,19,0.940625
narrow,5600,20,0.942188
narrow,5600,21,0.94933
narrow,5600,22,0.942634
narrow,5600,23,0.941741
narrow,5600,24,0.952455
narrow,5600,25,0.918973
narrow,5600,26,0.942634
narrow,5600,27,0.941071
narrow,5600,28,0.935714
narrow,5600,29,0.952455
wide,6100,0,0.98337
wide,6100,1,0.925994
wide,6100,2,0.954682
wide,6100,3,0.9499
wide,6100,4,0.927587
wide,6100,5,0.941932
wide,6100,6,0.897305
wide,6100,7,0.948307
wide,6100,8,0.951494
wide,6100,9,0.933963
wide,6100,10,0.927587
wide,6100,11,0.946713
wide,6100,12,0.87818
wide,6100,13,0.922806
wide,6100,14,0.938744
wide,6100,15,1.04075
wide,6100,16,0.941932
wide,6100,17,0.929181
wide,6100,18,0.967432
wide,6100,19,0.93715
wide,6100,20,0.946713
wide,6100,21,1.02003
wide,6100,22,1.0025
wide,6100,23,0.89093
wide,6100,24,0.881367
wide,6100,25,0.973807
wide,6100,26,0.941932
wide,6100,27,0.941932
wide,6100,28,0.922806
wide,6100,29,1.03597
narrow,6100,0,0.945287
narrow,6100,1,0.942828
narrow,6100,2,0.938115
narrow,6100,3,0.934221
narrow,6100,4,0.942213
narrow,6100,5,0.949795
narrow,6100,6,0.946721
narrow,6100,7,0.934426
narrow,6100,8,0.936066
narrow,6100,9,0.944262
narrow,6100,10,0.955533
narrow,6100,11,0.947541
narrow,6100,12,0.935246
narrow,6100,13,0.93709
narrow,6100,14,0.943443
narrow,6100,15,0.940779
narrow,6100,16,0.95123
narrow,6100,17,0.956762
narrow,6100,18,0.943648
narrow,6100,19,0.94959
narrow,6100,20,0.939754
narrow,6100,21,0.950205
narrow,6100,22,0.934221
narrow,6100,23,0.93791
narrow,6100,24,0.938934
narrow,6100,25,0.942623
narrow,6100,26,0.93668
narrow,6100,27,0.942418
narrow,6100,28,0.934016
narrow,6100,29,0.944672
wide,6600,0,0.914765
wide,6600,1,0.979579
wide,6600,2,0.904453
wide,6600,3,0.945699
wide,6600,4,0.947172
wide,6600,5,1.0002
wide,6600,6,0.98989
wide,6600,7,1.02672
wide,6600,8,0.933914
wide,6600,9,0.938333
wide,6600,10,0.97516
wide,6600,11,0.960429
wide,6600,12,0.913292
wide,6600,13,0.907399
wide,6600,14,0.969267
wide,6600,15,0.928022
wide,6600,16,0.983998
wide,6600,17,0.945699
wide,6600,18,0.953064
wide,6600,19,0.905926
wide,6600,20,0.917711
wide,6600,21,0.880884
wide,6600,22,0.969267
wide,6600,23,0.950118
wide,6600,24,0.994309
wide,6600,25,0.900034
wide,6600,26,0.891196
wide,6600,27,0.939806
wide,6600,28,0.925076
wide,6600,29,0.877938
narrow,6600,0,0.94678
narrow,6600,1,0.932576
narrow,6600,2,0.951515
narrow,6600,3,0.950189
narrow,6600,4,0.935795
narrow,6600,5,0.951326
narrow,6600,6,0.944129
narrow,6600,7,0.941098
narrow,6600,8,0.943561
narrow,6600,9,0.942803
narrow,6600,10,0.934659
narrow,6600,11,0.942992
narrow,6600,12,0.938826
narrow,6600,13,0.946402
narrow,6600,14,0.93428
narrow,6600,15,0.945455
narrow,6600,16,0.939583
narrow,6600,17,0.950758
narrow,6600,18,0.947727
narrow,6600,19,0.946402
narrow,6600,20,0.951515
narrow,6600,21,0.955871
narrow,6600,22,0.939583
narrow,6600,23,0.945265
narrow,6600,24,0.95947
narrow,6600,25,0.945644
narrow,6600,26,0.939205
narrow,6600,27,0.948864
narrow,6600,28,0.949242
narrow,6600,29,0.952083
wide,7100,0,0.940719
wide,7100,1,0.994123
wide,7100,2,0.931134
wide,7100,3,0.962628
wide,7100,4,0.942089
